airline,airline_sentiment,airline_sentiment_confidence,negativereason,tweet_created,clean_text,tweet_year,tweet_month,tweet_day,sentiment_label,char_count,word_count,avg_word_length
Virgin America,positive,0.6922,Unknown,2015-02-23 13:30:10-08:00,congrats on winning the award for best deals from an airline us,2015,2,23,2,63,12,5.25
Virgin America,negative,1.0,Lost Luggage,2015-02-23 13:08:21-08:00,everything was fine until you lost my bag,2015,2,23,0,41,8,5.125
Virgin America,neutral,1.0,Unknown,2015-02-23 12:47:52-08:00,need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online,2015,2,23,1,118,24,4.916666666666667
Virgin America,neutral,0.6492,Unknown,2015-02-23 12:00:17-08:00,i emailed your customer service team let me know if you need the tracking number,2015,2,23,1,80,15,5.333333333333333
Virgin America,neutral,1.0,Unknown,2015-02-23 11:56:37-08:00,hi i just booked a flight but need to add baggage how can i do this,2015,2,23,1,67,16,4.1875
Virgin America,negative,1.0,Flight Attendant Complaints,2015-02-23 11:46:16-08:00,your airline is awesome but your lax loft needs to step up its game for dirty tables and floors,2015,2,23,0,95,19,5.0
Virgin America,positive,1.0,Unknown,2015-02-23 11:32:31-08:00,not worried its been a great ride in a new plane with great crew all airlines should be like this,2015,2,23,2,97,20,4.85
Virgin America,positive,1.0,Unknown,2015-02-23 11:28:46-08:00,awesome i flew yall sat morning any way we can correct my bill,2015,2,23,2,62,13,4.769230769230769
Virgin America,neutral,1.0,Unknown,2015-02-23 11:24:18-08:00,or watch some of the best student films in the country at feet,2015,2,23,1,62,13,4.769230769230769
Virgin America,neutral,1.0,Unknown,2015-02-23 11:22:16-08:00,first time flying you all do you have a different ratepolicy for media bags thanks,2015,2,23,1,82,15,5.466666666666667
Virgin America,negative,1.0,Customer Service Issue,2015-02-23 11:02:02-08:00,what is going on with customer service is there anyway to speak to a human asap thank you,2015,2,23,0,89,18,4.944444444444445
Virgin America,neutral,1.0,Unknown,2015-02-23 10:58:43-08:00,what happened to doom,2015,2,23,1,21,4,5.25
Virgin America,negative,1.0,Customer Service Issue,2015-02-23 10:56:25-08:00,why cant you supp the biz traveler like and have customer service like,2015,2,23,0,70,13,5.384615384615385
Virgin America,positive,1.0,Unknown,2015-02-23 10:56:16-08:00,ive applied more then once to be a member of the crew teamim interested g,2015,2,23,2,73,15,4.866666666666666
Virgin America,negative,0.6792,Late Flight,2015-02-23 10:54:47-08:00,youre the best whenever i begrudgingly use any other airline im delayed and late flight,2015,2,23,0,87,15,5.8
Virgin America,negative,1.0,Can't Tell,2015-02-23 10:54:36-08:00,i have no interesting flying with you after this i will cancelled flight my next four flights i planned,2015,2,23,0,103,19,5.421052631578948
Virgin America,negative,1.0,Can't Tell,2015-02-23 10:38:14-08:00,it was a disappointing experience which will be shared with every business traveler i meet,2015,2,23,0,90,15,6.0
Virgin America,negative,1.0,Flight Booking Problems,2015-02-23 10:29:19-08:00,im having trouble adding this flight my wife booked to my elevate account help,2015,2,23,0,78,14,5.571428571428571
Virgin America,neutral,0.6705,Unknown,2015-02-23 10:15:00-08:00,cant bring up my reservation online using flight booking problems code,2015,2,23,1,70,11,6.363636363636363
Virgin America,neutral,1.0,Unknown,2015-02-23 10:09:30-08:00,random q whats the distribution of elevate avatars i bet that kitty has a disproportionate share,2015,2,23,1,96,16,6.0
Virgin America,neutral,0.6545,Unknown,2015-02-23 10:04:47-08:00,i lt flying va but life happens and i am trying to my trip jperhi can you helpva home page will not let me,2015,2,23,1,106,24,4.416666666666667
Virgin America,negative,1.0,Can't Tell,2015-02-23 09:57:42-08:00,why is the site down when will it be back up,2015,2,23,0,44,11,4.0
Virgin America,neutral,1.0,Unknown,2015-02-23 09:45:23-08:00,you down with rnp yeah you know me,2015,2,23,1,34,8,4.25
Virgin America,neutral,0.6639,Unknown,2015-02-23 09:35:03-08:00,hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account,2015,2,23,1,120,26,4.615384615384615
Virgin America,negative,1.0,Cancelled Flight,2015-02-23 09:29:00-08:00,i like the tv and interesting video just disappointed in cancelled flightled flight when other flights went out to jfk on saturday,2015,2,23,0,130,22,5.909090909090909
Virgin America,negative,1.0,Late Flight,2015-02-23 09:28:26-08:00,just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly,2015,2,23,0,116,23,5.043478260869565
Virgin America,neutral,0.6765,Unknown,2015-02-23 09:26:37-08:00,why is flight redirected,2015,2,23,1,24,4,6.0
Virgin America,negative,1.0,Customer Service Issue,2015-02-23 09:25:41-08:00,is it me or is your website down btw your new website isnt a great user experience time for another redesign,2015,2,23,0,108,21,5.142857142857143
Virgin America,negative,1.0,Customer Service Issue,2015-02-23 09:18:42-08:00,i cant check in or add a bag your website isnt working ive tried both desktop and mobile,2015,2,23,0,88,18,4.888888888888889
Virgin America,negative,1.0,Can't Tell,2015-02-23 09:11:12-08:00,let scanned in passengers leave the plane than told someone to remove their bag from st class bin,2015,2,23,0,97,18,5.388888888888889
Virgin America,negative,1.0,Flight Booking Problems,2015-02-23 08:29:21-08:00,what is your phone number i cant find who to call about a flight reservation,2015,2,23,0,76,15,5.066666666666666
Virgin America,negative,1.0,Customer Service Issue,2015-02-23 08:19:59-08:00,is anyone doing anything there today website is useless and no one is answering the phone,2015,2,23,0,89,16,5.5625
Virgin America,neutral,1.0,Unknown,2015-02-23 08:19:49-08:00,trying to add my boy prince to my ressie sf this thursday from lax,2015,2,23,1,66,14,4.714285714285714
Virgin America,negative,1.0,Late Flight,2015-02-23 08:11:03-08:00,why must a traveler miss a flight to late flight check a bag i missed my morning appointments and you lost my business,2015,2,23,0,118,23,5.130434782608695
Virgin America,neutral,1.0,Unknown,2015-02-23 08:08:08-08:00,check out new music,2015,2,23,1,19,4,4.75
Virgin America,negative,0.6925,Late Flight,2015-02-23 08:08:01-08:00,hows a direct flight fllgtsfo have unexpected layover in vegas fuel yet peeps next to me bought for vegas flight,2015,2,23,0,112,20,5.6
Virgin America,negative,1.0,Late Flight,2015-02-23 07:51:37-08:00,your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp,2015,2,23,0,124,25,4.96
Virgin America,positive,1.0,Unknown,2015-02-23 07:50:35-08:00,amazing customer service again raeann in sf shes the best,2015,2,23,2,57,10,5.7
Virgin America,negative,1.0,Customer Service Issue,2015-02-23 07:40:39-08:00,called your service line and was hung up on this is awesome,2015,2,23,0,59,12,4.916666666666667
Virgin America,negative,1.0,Flight Booking Problems,2015-02-23 07:40:05-08:00,your site is tripping im trying to check in and im getting the plain text version i am reluctant to enter any card info,2015,2,23,0,119,24,4.958333333333333
Virgin America,neutral,0.6593,Unknown,2015-02-23 07:28:43-08:00,i was scheduled for sfo dal flight today changed to th due weather looks like flight still on,2015,2,23,1,93,18,5.166666666666667
Virgin America,positive,0.6823,Unknown,2015-02-23 06:57:25-08:00,has getaway deals through may from oneway lots of cool cities,2015,2,23,2,61,11,5.545454545454546
Virgin America,positive,0.6779999999999999,Unknown,2015-02-23 06:51:01-08:00,have a great week,2015,2,23,2,17,4,4.25
Virgin America,positive,0.3482,Unknown,2015-02-23 06:07:54-08:00,come back to already we need you to take us out of this horrible cold,2015,2,23,2,69,15,4.6
Virgin America,negative,1.0,Late Flight,2015-02-23 05:15:06-08:00,should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop,2015,2,23,0,99,23,4.304347826086956
Virgin America,positive,1.0,Unknown,2015-02-23 03:01:39-08:00,is the best airline i have flown oneasy to change your reservationhelpful representatives amp a comfortable flying experience,2015,2,23,2,125,18,6.944444444444445
Virgin America,positive,1.0,Unknown,2015-02-23 00:35:42-08:00,and again another rep kicked butt naelah represents your team so beautifully thank you,2015,2,23,2,86,14,6.142857142857143
Virgin America,positive,1.0,Unknown,2015-02-23 00:21:40-08:00,your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure,2015,2,23,2,119,23,5.173913043478261
Virgin America,positive,1.0,Unknown,2015-02-23 00:06:55-08:00,love the team running gate e at las tonight waited for a delayed flight and they kept things entertaining,2015,2,23,2,105,19,5.526315789473684
Virgin America,negative,0.6832,Customer Service Issue,2015-02-22 22:39:18-08:00,use another browser amp a brand with a reputation built on tech response doesnt have a crossbrowser compatible website,2015,2,22,0,118,19,6.2105263157894735
Virgin America,negative,1.0,Flight Booking Problems,2015-02-22 22:11:07-08:00,and now the flight flight booking problems site is totally down folks what is the problem,2015,2,22,0,89,16,5.5625
Virgin America,negative,1.0,Customer Service Issue,2015-02-22 21:56:44-08:00,i like the customer service but a min delay just for connecting passengers seems too long va,2015,2,22,0,92,17,5.411764705882353
Virgin America,positive,1.0,Unknown,2015-02-22 20:23:27-08:00,thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight,2015,2,22,2,98,17,5.764705882352941
Virgin America,positive,1.0,Unknown,2015-02-22 17:48:33-08:00,you have the absolute best team and customer service ever every time i fly with you im delighted thank you,2015,2,22,2,106,20,5.3
Virgin America,neutral,1.0,Unknown,2015-02-22 17:45:25-08:00,do you provide complimentary upgrades to first class if there are available seats,2015,2,22,1,81,13,6.230769230769231
Virgin America,negative,0.6703,Customer Service Issue,2015-02-22 17:14:06-08:00,i need to change my flight thats scheduled in hours and min wait time on phone im calling intern help,2015,2,22,0,101,20,5.05
Virgin America,positive,1.0,Unknown,2015-02-22 16:18:33-08:00,completely awesome experience last month boslas nonstop thanks for such an awesome flight and depart time,2015,2,22,2,105,16,6.5625
Virgin America,neutral,1.0,Unknown,2015-02-22 16:05:07-08:00,how can i watch the on my jfkgtsfo flight,2015,2,22,1,41,9,4.555555555555555
Virgin America,neutral,0.6535,Unknown,2015-02-22 15:41:51-08:00,is flight cancelled flightled and what do i do if it is,2015,2,22,1,55,12,4.583333333333333
Virgin America,negative,1.0,Customer Service Issue,2015-02-22 15:40:12-08:00,you are failing your customers because your check in process does not link to tsa precheck,2015,2,22,0,90,16,5.625
Virgin America,negative,1.0,Can't Tell,2015-02-22 15:06:19-08:00,us too terrible airline just gave us a hotel hotline number and said sorry,2015,2,22,0,74,14,5.285714285714286
Virgin America,neutral,1.0,Unknown,2015-02-22 15:03:35-08:00,has flight number from sfo to cabo san lucas arrived yet,2015,2,22,1,56,11,5.090909090909091
Virgin America,negative,1.0,Cancelled Flight,2015-02-22 15:02:11-08:00,your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline shame on you,2015,2,22,0,107,19,5.631578947368421
Virgin America,negative,1.0,Late Flight,2015-02-22 14:49:31-08:00,another delayed flight,2015,2,22,0,22,3,7.333333333333333
Virgin America,negative,1.0,Customer Service Issue,2015-02-22 14:39:09-08:00,i need to register a service dog for a first class ticket from sfo gt dulles the phone queue is an hour or longer pls advise,2015,2,22,0,124,26,4.769230769230769
Virgin America,positive,1.0,Unknown,2015-02-22 14:32:14-08:00,you rock for making it so i can watch on my flight,2015,2,22,2,50,12,4.166666666666667
Virgin America,neutral,1.0,Unknown,2015-02-22 14:31:43-08:00,dropped a track on you,2015,2,22,1,22,5,4.4
Virgin America,positive,0.7011,Unknown,2015-02-22 14:09:50-08:00,always xoxo,2015,2,22,2,11,2,5.5
Virgin America,negative,1.0,Flight Booking Problems,2015-02-22 14:07:43-08:00,why cant we book seats on your flights when we buy them or even during check in creates so much anxiety,2015,2,22,0,103,21,4.904761904761905
Virgin America,negative,0.6543,Flight Attendant Complaints,2015-02-22 14:03:34-08:00,youd think paying an extra bucks rt for luggage might afford you hiring an extra hand at,2015,2,22,0,88,17,5.176470588235294
Virgin America,positive,1.0,Unknown,2015-02-22 13:55:28-08:00,best customer service rep in the world takes the cake,2015,2,22,2,53,10,5.3
Virgin America,neutral,0.355,Unknown,2015-02-22 13:49:59-08:00,can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service,2015,2,22,1,108,22,4.909090909090909
Virgin America,negative,0.6889,Late Flight,2015-02-22 13:47:02-08:00,please provide status for flight i cant imagine its on time as the web indicates dude to weather here andor dallas,2015,2,22,0,114,21,5.428571428571429
Virgin America,positive,1.0,Unknown,2015-02-22 13:45:41-08:00,you have amazing staff amp super helpful as i just ran the they have spoiled me with comfort,2015,2,22,2,92,18,5.111111111111111
Virgin America,negative,1.0,Cancelled Flight,2015-02-22 13:29:34-08:00,i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face,2015,2,22,0,127,25,5.08
Virgin America,negative,0.679,Flight Booking Problems,2015-02-22 13:23:03-08:00,question is it not possible to book a seat for an infant under its not giving me the option but we want a seat for him,2015,2,22,0,118,26,4.538461538461538
Virgin America,positive,1.0,Unknown,2015-02-22 12:49:25-08:00,always have it together youre welcome rt youre so welcome,2015,2,22,2,57,10,5.7
Virgin America,positive,1.0,Unknown,2015-02-22 12:35:49-08:00,home to in back to,2015,2,22,2,18,5,3.6
Virgin America,negative,1.0,Damaged Luggage,2015-02-22 12:34:26-08:00,i dont understand why you need a dm to give me an answer on if you have a damaged luggage policy,2015,2,22,0,96,21,4.571428571428571
Virgin America,negative,1.0,Damaged Luggage,2015-02-22 12:27:38-08:00,does that mean you dont have a policy for destroyed luggage,2015,2,22,0,59,11,5.363636363636363
Virgin America,neutral,1.0,Unknown,2015-02-22 11:56:57-08:00,is there special assistance if i travel alone w kids and infant priority boarding,2015,2,22,1,81,14,5.785714285714286
Virgin America,positive,1.0,Unknown,2015-02-22 11:33:40-08:00,thank you for checking in tickets are purchased and customer is happy,2015,2,22,2,69,12,5.75
Virgin America,neutral,1.0,Unknown,2015-02-22 11:13:18-08:00,is your website ever coming back online,2015,2,22,1,39,7,5.571428571428571
Virgin America,neutral,0.6732,Unknown,2015-02-22 11:10:37-08:00,is flight from love field to sfo definitely cancelled flightled for monday february,2015,2,22,1,83,13,6.384615384615385
Virgin America,neutral,1.0,Unknown,2015-02-22 11:10:30-08:00,is flight out of lga to dfw on time,2015,2,22,1,35,9,3.888888888888889
Virgin America,neutral,1.0,Unknown,2015-02-22 11:10:27-08:00,my drivers license is expired by a little over a month can i fly friday morning using my expired license,2015,2,22,1,104,20,5.2
Virgin America,negative,1.0,Customer Service Issue,2015-02-22 11:02:26-08:00,having problems flight booking problems on the web site keeps giving me an error and to contact by phone phone is minute wait,2015,2,22,0,125,23,5.434782608695652
Virgin America,negative,0.6593,Cancelled Flight,2015-02-22 11:01:38-08:00,how do i reschedule my cancelled flightled flights online the change button is greyed out,2015,2,22,0,89,15,5.933333333333334
Virgin America,negative,1.0,Flight Booking Problems,2015-02-22 10:38:45-08:00,i rang but there is a wait for minutes i can book the same ticket through a vendor fix your site,2015,2,22,0,96,21,4.571428571428571
Virgin America,negative,1.0,Late Flight,2015-02-22 10:30:17-08:00,got a flight we were told for todaychecked my email and its for tomorrow this is unacceptable,2015,2,22,0,93,17,5.470588235294118
Virgin America,negative,1.0,Cancelled Flight,2015-02-22 10:29:19-08:00,our flight into lga was cancelled flighted were stuck in dallas i called to reschedule told i could get a flight for today,2015,2,22,0,122,23,5.304347826086956
Virgin America,negative,1.0,Bad Flight,2015-02-22 10:19:45-08:00,why dont any of the pairings include red wine only white is offered,2015,2,22,0,67,13,5.153846153846154
Virgin America,negative,0.6517,Customer Service Issue,2015-02-22 08:56:00-08:00,is the website down,2015,2,22,0,19,4,4.75
Virgin America,negative,0.68,Customer Service Issue,2015-02-22 08:53:08-08:00,your site seems a little wonked right now may want to have a look tried on two browsers no css,2015,2,22,0,94,20,4.7
Virgin America,negative,1.0,Customer Service Issue,2015-02-22 05:51:43-08:00,im disappointed that the agent at the designated silver status check in line closed to assist all pasengers,2015,2,22,0,107,18,5.944444444444445
Virgin America,neutral,1.0,Unknown,2015-02-22 05:02:06-08:00,plans to include austin to its dallas route topnews arab,2015,2,22,1,56,10,5.6
Virgin America,negative,1.0,Customer Service Issue,2015-02-22 04:43:56-08:00,is it normal to receive no reply from central baggage,2015,2,22,0,53,10,5.3
Virgin America,negative,1.0,longlines,2015-02-22 03:39:28-08:00,at logan airport and waiting to checkin for my am flight checkin desk not open why,2015,2,22,0,82,16,5.125
Virgin America,neutral,1.0,Unknown,2015-02-22 03:32:07-08:00,to jump into the dallasaustin market,2015,2,22,1,36,6,6.0
Virgin America,neutral,1.0,Unknown,2015-02-22 03:02:06-08:00,beats eps views takes on va luv investors business daily,2015,2,22,1,56,10,5.6
Virgin America,neutral,1.0,Unknown,2015-02-22 02:42:16-08:00,lister to my show my on monday,2015,2,22,1,30,7,4.285714285714286
Virgin America,neutral,1.0,Unknown,2015-02-22 01:32:05-08:00,to begin dallasaustin in april ketr,2015,2,22,1,35,6,5.833333333333333
Virgin America,negative,1.0,Can't Tell,2015-02-21 21:32:59-08:00,congrats you just got all my business from ewr to sfolax fuck you fl sfoewr was the clincher,2015,2,21,0,92,18,5.111111111111111
Virgin America,negative,1.0,Customer Service Issue,2015-02-21 21:28:42-08:00,i applied over weeks ago havent heard back and im flying this week,2015,2,21,0,66,13,5.076923076923077
Virgin America,neutral,0.6816,Unknown,2015-02-21 20:41:55-08:00,id love to know what your policy is for damaged luggage,2015,2,21,1,55,11,5.0
Virgin America,positive,1.0,Unknown,2015-02-21 20:33:30-08:00,thank you for the follow,2015,2,21,2,24,5,4.8
Virgin America,negative,1.0,Customer Service Issue,2015-02-21 20:21:23-08:00,too many apologies you r the worse airlines dont even respond to your cudtomers,2015,2,21,0,79,14,5.642857142857143
Virgin America,negative,1.0,Cancelled Flight,2015-02-21 20:11:40-08:00,shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me,2015,2,21,0,121,22,5.5
Virgin America,neutral,0.6942,Unknown,2015-02-21 18:29:40-08:00,can you please have flights in sjc i have no choice but to fly southwest to vegas,2015,2,21,1,81,17,4.764705882352941
Virgin America,negative,1.0,Customer Service Issue,2015-02-21 18:29:35-08:00,too bad you say it takes to days via your confirmation email when i inquired after weeks you claim to weeks,2015,2,21,0,107,21,5.095238095238095
